epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.743,1.66325,3.41415,1.02272,0.76504,0.41508,0.43583,0.29509,1.31318,1.43661,0.91127,8.30091e-05,8.30091e-05,8.30091e-05
2,244.193,1.24811,1.24297,0.9019,0.7577,0.64859,0.75133,0.53982,1.04738,0.80476,0.8626,0.000160853,0.000160853,0.000160853
3,361.136,1.07527,0.87217,0.87408,0.90289,0.86496,0.90949,0.69418,0.8942,0.63116,0.83865,0.000233197,0.000233197,0.000233197
4,467.241,0.97538,0.74372,0.85715,0.94187,0.91312,0.94153,0.74511,0.8006,0.55248,0.82676,0.00022525,0.00022525,0.00022525
5,575.545,0.91908,0.67359,0.85108,0.95264,0.94819,0.98162,0.77902,0.78954,0.52208,0.82389,0.000217,0.000217,0.000217
6,692.316,0.8753,0.62337,0.84339,0.9587,0.95986,0.98936,0.80197,0.71556,0.48651,0.81655,0.00020875,0.00020875,0.00020875
7,798.766,0.84118,0.5909,0.83812,0.96793,0.9725,0.99076,0.81029,0.6829,0.46415,0.81286,0.0002005,0.0002005,0.0002005
8,906.67,0.8124,0.56841,0.83471,0.97909,0.97709,0.99169,0.81858,0.67991,0.44954,0.81031,0.00019225,0.00019225,0.00019225
9,1021.51,0.79716,0.55381,0.83296,0.98156,0.9771,0.99244,0.81789,0.66454,0.44218,0.81032,0.000184,0.000184,0.000184
10,1131.68,0.77749,0.53937,0.82992,0.98635,0.98187,0.99272,0.8262,0.66034,0.43697,0.80925,0.00017575,0.00017575,0.00017575
11,1237.66,0.76782,0.52802,0.82948,0.98593,0.98655,0.99349,0.83078,0.63294,0.42314,0.80632,0.0001675,0.0001675,0.0001675
12,1349.19,0.753,0.51493,0.82738,0.98679,0.98457,0.99354,0.83666,0.62867,0.41472,0.80488,0.00015925,0.00015925,0.00015925
13,1461.91,0.73868,0.50373,0.82681,0.98819,0.98497,0.99319,0.82971,0.6244,0.41453,0.80582,0.000151,0.000151,0.000151
14,1566,0.72964,0.49481,0.82543,0.99105,0.98952,0.99409,0.84399,0.59591,0.399,0.8013,0.00014275,0.00014275,0.00014275
15,1674.3,0.71296,0.48074,0.82254,0.99054,0.98938,0.99405,0.84796,0.58861,0.38974,0.8004,0.0001345,0.0001345,0.0001345
16,1788.41,0.71155,0.47858,0.82254,0.99185,0.99068,0.9942,0.85242,0.57867,0.38656,0.79959,0.00012625,0.00012625,0.00012625
17,1891.93,0.69373,0.46683,0.81926,0.99065,0.98948,0.99409,0.8569,0.56672,0.38306,0.79864,0.000118,0.000118,0.000118
18,1998.72,0.68607,0.46127,0.81835,0.99373,0.98753,0.99411,0.85915,0.56172,0.3772,0.79763,0.00010975,0.00010975,0.00010975
19,2114.32,0.68691,0.45783,0.81935,0.98722,0.99297,0.99389,0.85595,0.57179,0.37747,0.79834,0.0001015,0.0001015,0.0001015
20,2220.26,0.67577,0.45176,0.81719,0.99195,0.99091,0.99414,0.86274,0.55669,0.3684,0.79644,9.325e-05,9.325e-05,9.325e-05
21,2344.71,0.6696,0.45607,0.81319,0.98967,0.98982,0.99372,0.8586,0.56188,0.37742,0.79661,8.5e-05,8.5e-05,8.5e-05
22,2454.07,0.64059,0.43039,0.81172,0.9897,0.99154,0.99427,0.86696,0.54755,0.36787,0.79566,7.675e-05,7.675e-05,7.675e-05
23,2560.79,0.6212,0.42005,0.80824,0.99017,0.99287,0.99424,0.86799,0.53726,0.36198,0.7945,6.85e-05,6.85e-05,6.85e-05
24,2661.73,0.61732,0.41688,0.80772,0.99196,0.99252,0.99433,0.87243,0.53729,0.36045,0.79325,6.025e-05,6.025e-05,6.025e-05
25,2767.42,0.60953,0.4107,0.80657,0.9944,0.99025,0.99444,0.87311,0.53099,0.35857,0.79289,5.2e-05,5.2e-05,5.2e-05
26,2875.86,0.59952,0.40483,0.80484,0.99341,0.99305,0.99444,0.87756,0.52165,0.35476,0.79231,4.375e-05,4.375e-05,4.375e-05
27,2975.29,0.59201,0.40056,0.80462,0.99298,0.99157,0.99435,0.87854,0.51746,0.3503,0.79178,3.55e-05,3.55e-05,3.55e-05
28,3077.9,0.58509,0.39676,0.80294,0.99341,0.99313,0.99434,0.88007,0.51026,0.34563,0.7906,2.725e-05,2.725e-05,2.725e-05
29,3188.96,0.58275,0.39342,0.80348,0.99343,0.99228,0.99439,0.88229,0.50525,0.34358,0.79049,1.9e-05,1.9e-05,1.9e-05
30,3294.11,0.57651,0.39111,0.803,0.9937,0.99394,0.99444,0.88544,0.49938,0.34064,0.78993,1.075e-05,1.075e-05,1.075e-05
