epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,125.407,1.76839,3.85784,1.05755,0.54772,0.3062,0.32819,0.22055,1.47165,1.80712,0.95863,7.53029e-05,7.53029e-05,7.53029e-05
2,232.445,1.40507,1.54854,0.93767,0.73595,0.67018,0.73332,0.51678,1.17642,0.8938,0.89734,0.000145988,0.000145988,0.000145988
3,341.969,1.18995,1.00806,0.90032,0.79321,0.81179,0.85398,0.64392,0.96596,0.73575,0.86292,0.000211678,0.000211678,0.000211678
4,453.707,1.07697,0.85183,0.87999,0.86329,0.86666,0.90284,0.69759,0.88396,0.6473,0.84737,0.000204527,0.000204527,0.000204527
5,559.798,1.00742,0.76004,0.86658,0.95556,0.87194,0.92389,0.71863,0.89146,0.60269,0.84657,0.000197036,0.000197036,0.000197036
6,664.027,0.96355,0.70989,0.8609,0.95362,0.92057,0.95071,0.75897,0.8072,0.55069,0.83589,0.000189545,0.000189545,0.000189545
7,776.59,0.92166,0.66813,0.85511,0.95856,0.93329,0.97125,0.77817,0.78474,0.53036,0.83237,0.000182054,0.000182054,0.000182054
8,881.876,0.9024,0.63998,0.85163,0.98098,0.93731,0.97475,0.79229,0.75952,0.51071,0.82886,0.000174563,0.000174563,0.000174563
9,988.962,0.87186,0.61144,0.84642,0.95568,0.95754,0.98863,0.79968,0.76309,0.5022,0.82828,0.000167072,0.000167072,0.000167072
10,1102.87,0.8571,0.59773,0.84636,0.97656,0.96818,0.99046,0.80961,0.7155,0.47508,0.82363,0.000159581,0.000159581,0.000159581
11,1218.96,0.83467,0.58045,0.84176,0.98202,0.97521,0.99231,0.82145,0.70149,0.45993,0.81974,0.00015209,0.00015209,0.00015209
12,1325.91,0.8214,0.56434,0.83976,0.98003,0.97833,0.99235,0.82537,0.68619,0.452,0.81858,0.000144599,0.000144599,0.000144599
13,1437.25,0.80543,0.55367,0.83746,0.98297,0.98464,0.99268,0.82949,0.66897,0.44341,0.81765,0.000137108,0.000137108,0.000137108
14,1553.2,0.80506,0.54584,0.83737,0.98893,0.97858,0.99297,0.83199,0.66537,0.43332,0.81514,0.000129617,0.000129617,0.000129617
15,1658.88,0.78707,0.53235,0.83488,0.99036,0.98399,0.99347,0.8386,0.64735,0.42326,0.81434,0.000122126,0.000122126,0.000122126
16,1764.42,0.78388,0.52836,0.83484,0.98737,0.98296,0.99349,0.8403,0.64529,0.41856,0.81351,0.000114635,0.000114635,0.000114635
17,1876.1,0.78047,0.52214,0.83452,0.98752,0.98792,0.99372,0.84472,0.63736,0.41325,0.81178,0.000107144,0.000107144,0.000107144
18,1980.6,0.75555,0.50641,0.8306,0.98988,0.98962,0.99387,0.84591,0.63089,0.4074,0.81097,9.9653e-05,9.9653e-05,9.9653e-05
19,2084.46,0.75503,0.50479,0.82922,0.99152,0.98511,0.99376,0.84861,0.61999,0.40304,0.80989,9.2162e-05,9.2162e-05,9.2162e-05
20,2195.58,0.74901,0.50006,0.82861,0.99138,0.9856,0.99363,0.84904,0.61469,0.40046,0.80929,8.4671e-05,8.4671e-05,8.4671e-05
21,2346.76,0.73911,0.50369,0.82585,0.98928,0.98714,0.99351,0.84747,0.62685,0.40798,0.81022,7.718e-05,7.718e-05,7.718e-05
22,2444.07,0.7117,0.47843,0.82284,0.99097,0.98487,0.99385,0.85474,0.61243,0.39774,0.8088,6.9689e-05,6.9689e-05,6.9689e-05
23,2537.27,0.69235,0.467,0.8205,0.99215,0.98486,0.99397,0.85547,0.60627,0.39229,0.80753,6.2198e-05,6.2198e-05,6.2198e-05
24,2638.01,0.68702,0.46184,0.81774,0.99177,0.98817,0.99405,0.8628,0.59212,0.38685,0.80598,5.4707e-05,5.4707e-05,5.4707e-05
25,2729.5,0.67758,0.4546,0.81685,0.99181,0.9891,0.99418,0.86029,0.59149,0.38397,0.80571,4.7216e-05,4.7216e-05,4.7216e-05
26,2817.22,0.67307,0.4524,0.81768,0.99199,0.98838,0.99414,0.86199,0.58535,0.38202,0.80573,3.9725e-05,3.9725e-05,3.9725e-05
27,2913.47,0.66583,0.44743,0.81559,0.99188,0.99045,0.9943,0.86748,0.57643,0.37792,0.80444,3.2234e-05,3.2234e-05,3.2234e-05
28,3013.88,0.6601,0.44282,0.81441,0.99064,0.99019,0.99423,0.8689,0.569,0.3722,0.80379,2.4743e-05,2.4743e-05,2.4743e-05
29,3100.68,0.64925,0.43766,0.81463,0.99183,0.99072,0.99429,0.87298,0.56564,0.37057,0.80346,1.7252e-05,1.7252e-05,1.7252e-05
30,3190.38,0.64952,0.43716,0.81367,0.99172,0.98984,0.99434,0.87317,0.56373,0.36955,0.8033,9.761e-06,9.761e-06,9.761e-06
