epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.7117,1.48352,4.1339,1.24317,0.01173,0.20373,0.09692,0.05562,1.1972,3.91197,0.94541,0.00013842,0.00013842,0.00013842
2,15.4338,1.2545,2.22285,1.00693,0.88007,0.37334,0.39207,0.29632,1.19214,2.30206,0.89122,0.000270446,0.000270446,0.000270446
3,21.922,1.1401,1.33862,0.95227,0.95627,0.45384,0.6205,0.43198,1.07386,1.79096,0.85728,0.000388007,0.000388007,0.000388007
4,28.5085,1.02093,0.97525,0.92682,0.95336,0.49425,0.70597,0.50579,1.00236,1.66089,0.87328,0.000491103,0.000491103,0.000491103
5,34.917,0.96582,0.873,0.91109,0.93389,0.69807,0.7693,0.5634,0.87518,0.95402,0.83633,0.000579734,0.000579734,0.000579734
6,41.4253,0.90775,0.79064,0.90108,0.79856,0.74607,0.80586,0.60563,0.7953,0.80331,0.82722,0.000578672,0.000578672,0.000578672
7,48.0272,0.86179,0.73925,0.88928,0.79328,0.77738,0.83318,0.62394,0.79086,0.65912,0.83229,0.000540607,0.000540607,0.000540607
8,54.6226,0.82297,0.68708,0.86838,0.84519,0.87903,0.8726,0.66123,0.72875,0.59157,0.8174,0.000502541,0.000502541,0.000502541
9,61.1608,0.78796,0.6546,0.86681,0.90674,0.9047,0.92875,0.70927,0.7023,0.57397,0.81828,0.000464476,0.000464476,0.000464476
10,67.7311,0.78663,0.64701,0.86697,0.93851,0.91168,0.95861,0.72563,0.69906,0.581,0.81774,0.000426411,0.000426411,0.000426411
11,103.353,0.74135,0.66693,0.84373,0.97618,0.92739,0.97901,0.75098,0.69036,0.61881,0.80856,0.000388345,0.000388345,0.000388345
12,109.902,0.67203,0.60742,0.83471,0.97659,0.93067,0.98477,0.7538,0.65879,0.53272,0.80948,0.00035028,0.00035028,0.00035028
13,116.198,0.67778,0.59298,0.82966,0.96633,0.94901,0.98494,0.7617,0.62986,0.52003,0.79999,0.000312214,0.000312214,0.000312214
14,122.457,0.63773,0.56772,0.82025,0.97231,0.96331,0.98973,0.78394,0.56942,0.45513,0.79601,0.000274148,0.000274148,0.000274148
15,128.762,0.62553,0.5474,0.82316,0.97306,0.97583,0.9918,0.78773,0.58172,0.43496,0.8004,0.000236083,0.000236083,0.000236083
16,134.858,0.62264,0.53443,0.82099,0.98137,0.97427,0.99207,0.79372,0.54863,0.42919,0.79736,0.000198018,0.000198018,0.000198018
17,141.332,0.6023,0.53137,0.82337,0.97786,0.97551,0.99233,0.80133,0.52103,0.42381,0.7932,0.000159952,0.000159952,0.000159952
18,147.429,0.5736,0.51041,0.80999,0.98189,0.98272,0.99311,0.80278,0.52909,0.41717,0.79463,0.000121887,0.000121887,0.000121887
19,154.069,0.56705,0.50483,0.81532,0.98141,0.98527,0.99335,0.8086,0.51301,0.41033,0.79113,8.3821e-05,8.3821e-05,8.3821e-05
20,160.272,0.54148,0.49485,0.81749,0.98291,0.98563,0.99335,0.81222,0.49944,0.39769,0.79182,4.57555e-05,4.57555e-05,4.57555e-05
