epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8784,1.52757,3.1729,1.36202,1,0.17092,0.80421,0.47956,1.24337,2.76386,1.07785,0.000466807,0.000466807,0.000466807
2,24.0546,1.17309,1.76714,1.12535,0.95088,0.64375,0.89875,0.59627,1.15057,2.1852,1.20237,0.000896455,0.000896455,0.000896455
3,35.3892,1.14351,1.47668,1.1386,0.86612,0.8749,0.92026,0.64475,1.03761,1.19868,1.19695,0.00127895,0.00127895,0.00127895
4,46.2746,1.03151,1.18896,1.08681,0.93189,0.83656,0.92932,0.7115,0.92506,1.00926,1.08589,0.00121679,0.00121679,0.00121679
5,57.3591,1.00423,1.06017,1.06954,0.9807,0.95181,0.99207,0.72292,0.9535,0.69179,1.0646,0.00114606,0.00114606,0.00114606
6,70.2914,0.93266,0.95272,1.04866,0.97564,0.935,0.98384,0.77111,0.80039,0.70284,1.00799,0.00107532,0.00107532,0.00107532
7,83.93,0.85801,0.82075,1.00237,0.98006,0.94926,0.98924,0.83348,0.70778,0.54864,0.94757,0.00100459,0.00100459,0.00100459
8,97.5753,0.78941,0.72016,0.9877,0.98268,0.9791,0.99363,0.81736,0.69197,0.55173,0.93188,0.000933851,0.000933851,0.000933851
9,111.179,0.75305,0.65938,0.96675,0.98391,0.99258,0.99468,0.85415,0.61658,0.449,0.90468,0.000863116,0.000863116,0.000863116
10,124.715,0.73956,0.64251,0.96112,0.99604,0.99208,0.9944,0.84035,0.61874,0.4131,0.90618,0.00079238,0.00079238,0.00079238
11,164.931,0.70384,0.73879,0.98358,0.99347,0.99331,0.99478,0.87049,0.55394,0.42486,0.88463,0.000721645,0.000721645,0.000721645
12,178.646,0.68492,0.69164,0.97331,0.99427,0.99206,0.99496,0.86463,0.59787,0.42311,0.88453,0.000650909,0.000650909,0.000650909
13,192.335,0.66425,0.66437,0.9734,0.99766,0.99375,0.99497,0.88398,0.51416,0.40076,0.87253,0.000580174,0.000580174,0.000580174
14,205.76,0.63635,0.61654,0.96546,0.99957,0.99875,0.995,0.89545,0.48331,0.35841,0.84362,0.000509438,0.000509438,0.000509438
15,219.221,0.59678,0.56136,0.92095,0.99848,0.99948,0.995,0.89056,0.4843,0.3656,0.83849,0.000438703,0.000438703,0.000438703
16,232.741,0.57435,0.54329,0.92552,0.99893,1,0.995,0.91464,0.41692,0.32567,0.81894,0.000367967,0.000367967,0.000367967
17,246.06,0.54295,0.51737,0.92779,0.998,0.99875,0.995,0.92757,0.3706,0.31271,0.80403,0.000297232,0.000297232,0.000297232
18,259.55,0.51734,0.48945,0.9185,0.99959,1,0.995,0.9328,0.36567,0.29938,0.8015,0.000226497,0.000226497,0.000226497
19,273.34,0.48221,0.455,0.88963,0.99974,1,0.995,0.95285,0.32972,0.27959,0.79235,0.000155761,0.000155761,0.000155761
20,286.938,0.4456,0.44401,0.90684,0.99971,1,0.995,0.96097,0.29594,0.26476,0.78184,8.50255e-05,8.50255e-05,8.50255e-05
