epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.0714,1.13429,2.55157,0.93352,0.00685,0.62718,0.35527,0.30951,0.99381,3.25126,0.81313,0.000465508,0.000465508,0.000465508
2,38.2609,0.94524,1.20814,0.87522,0.99556,0.33826,0.65849,0.52329,0.8932,2.24847,0.80905,0.00089522,0.00089522,0.00089522
3,54.4472,0.94316,1.00742,0.86557,0.96849,0.65844,0.66291,0.52815,0.92342,1.06267,0.81807,0.00127777,0.00127777,0.00127777
4,72.1835,0.89149,0.89838,0.85815,0.99809,0.6588,0.68178,0.5636,0.78997,0.61732,0.80392,0.00121679,0.00121679,0.00121679
5,90.5776,0.82614,0.80457,0.84943,0.99592,0.66479,0.69365,0.56865,0.78302,0.55229,0.80739,0.00114606,0.00114606,0.00114606
6,108.794,0.78504,0.71535,0.84514,0.97339,0.80965,0.84191,0.63823,0.67338,0.46761,0.80232,0.00107532,0.00107532,0.00107532
7,126.685,0.74731,0.6389,0.84118,0.95377,0.89471,0.92444,0.68153,0.66749,0.44223,0.82209,0.00100459,0.00100459,0.00100459
8,145.2,0.71971,0.60762,0.83528,0.90023,0.8866,0.90059,0.69646,0.64341,0.44688,0.80713,0.000933851,0.000933851,0.000933851
9,163.355,0.71032,0.56954,0.8307,0.89944,0.89974,0.92817,0.75132,0.64538,0.42808,0.80595,0.000863116,0.000863116,0.000863116
10,181.236,0.67452,0.53686,0.82583,0.99579,0.84487,0.91144,0.74208,0.61601,0.43254,0.81051,0.00079238,0.00079238,0.00079238
11,227.534,0.63057,0.55961,0.8076,0.95584,0.96699,0.96891,0.77307,0.56136,0.40026,0.80065,0.000721645,0.000721645,0.000721645
12,244.585,0.58986,0.50055,0.80422,0.84649,0.89333,0.86296,0.72891,0.52343,0.37625,0.79662,0.000650909,0.000650909,0.000650909
13,261.84,0.56451,0.47716,0.8075,0.98294,0.95867,0.9783,0.79955,0.53371,0.38089,0.79741,0.000580174,0.000580174,0.000580174
14,278.864,0.55305,0.45253,0.80177,0.99513,0.92612,0.97317,0.83124,0.51265,0.36667,0.80003,0.000509438,0.000509438,0.000509438
15,295.773,0.52728,0.42484,0.79635,0.98342,0.96667,0.98698,0.84702,0.48117,0.34399,0.7931,0.000438703,0.000438703,0.000438703
16,312.233,0.49736,0.40711,0.80193,0.99341,0.97282,0.98666,0.87945,0.45293,0.33555,0.78862,0.000367967,0.000367967,0.000367967
17,329.218,0.47604,0.38774,0.79199,0.98516,0.97334,0.99128,0.87143,0.4183,0.32304,0.78961,0.000297232,0.000297232,0.000297232
18,346.487,0.44168,0.37268,0.78217,0.99114,0.97861,0.99373,0.8983,0.37802,0.29767,0.78967,0.000226497,0.000226497,0.000226497
19,364.065,0.4255,0.36174,0.78266,0.99267,0.98795,0.99298,0.90259,0.37855,0.30298,0.78745,0.000155761,0.000155761,0.000155761
20,381.872,0.40385,0.34569,0.78052,0.99941,0.97982,0.99273,0.90354,0.35172,0.2838,0.78187,8.50255e-05,8.50255e-05,8.50255e-05
