epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,69.5536,1.76956,3.77483,1.06015,0.8399,0.31894,0.34804,0.22747,1.47132,1.75199,0.94717,8.09267e-05,8.09267e-05,8.09267e-05
2,137.313,1.39253,1.48219,0.93036,0.79883,0.58943,0.63254,0.43717,1.15795,0.92471,0.88524,0.000156905,0.000156905,0.000156905
3,203.683,1.20167,1.00999,0.89791,0.84396,0.69252,0.73297,0.53687,0.99619,0.74462,0.86102,0.000227516,0.000227516,0.000227516
4,270.12,1.08459,0.84492,0.87668,0.84485,0.77182,0.83075,0.6316,0.89103,0.64119,0.84542,0.000219844,0.000219844,0.000219844
5,337.062,1.00284,0.75265,0.86388,0.90386,0.86046,0.89663,0.69808,0.84625,0.59151,0.83806,0.000211792,0.000211792,0.000211792
6,403.109,0.95552,0.69328,0.85586,0.91867,0.87,0.91813,0.72291,0.82459,0.54523,0.83412,0.00020374,0.00020374,0.00020374
7,470.038,0.92061,0.65754,0.85288,0.90698,0.89654,0.93534,0.73776,0.80718,0.52776,0.8311,0.000195688,0.000195688,0.000195688
8,535.854,0.9014,0.63301,0.84861,0.93084,0.91795,0.94418,0.75797,0.75278,0.4962,0.82562,0.000187636,0.000187636,0.000187636
9,601.437,0.86637,0.60528,0.84347,0.92894,0.93472,0.95092,0.77076,0.73006,0.4805,0.82189,0.000179584,0.000179584,0.000179584
10,667.275,0.85253,0.59269,0.84154,0.9445,0.93276,0.95486,0.77046,0.75141,0.4776,0.82341,0.000171532,0.000171532,0.000171532
11,733.179,0.83688,0.57416,0.84048,0.94104,0.9363,0.95544,0.7877,0.68625,0.45674,0.81816,0.00016348,0.00016348,0.00016348
12,799.854,0.81656,0.56143,0.83602,0.95044,0.93782,0.95614,0.78617,0.69043,0.45008,0.81774,0.000155428,0.000155428,0.000155428
13,865.758,0.81821,0.55854,0.83505,0.94603,0.93894,0.95625,0.79138,0.66946,0.44227,0.81521,0.000147376,0.000147376,0.000147376
14,931.344,0.79826,0.54439,0.83274,0.94817,0.94615,0.9563,0.79088,0.67886,0.44678,0.81672,0.000139324,0.000139324,0.000139324
15,997.276,0.78356,0.53446,0.83184,0.94884,0.94706,0.95618,0.79289,0.66059,0.43714,0.81404,0.000131272,0.000131272,0.000131272
16,1062.79,0.7748,0.52451,0.83166,0.94951,0.9506,0.9567,0.79979,0.64698,0.42859,0.81312,0.00012322,0.00012322,0.00012322
17,1128.35,0.77537,0.53063,0.83286,0.94607,0.94991,0.95643,0.80122,0.64292,0.42406,0.81227,0.000115168,0.000115168,0.000115168
18,1194.62,0.76779,0.51783,0.82993,0.95319,0.9491,0.95671,0.80705,0.63249,0.41895,0.81115,0.000107116,0.000107116,0.000107116
19,1260.19,0.75215,0.50417,0.82828,0.95207,0.95136,0.95687,0.80837,0.62404,0.4117,0.80925,9.9064e-05,9.9064e-05,9.9064e-05
20,1325.62,0.74766,0.5001,0.8286,0.95194,0.95166,0.95714,0.80936,0.61605,0.40714,0.80864,9.1012e-05,9.1012e-05,9.1012e-05
21,1406.11,0.73427,0.51158,0.82405,0.9503,0.94688,0.95676,0.80707,0.62768,0.41069,0.80836,8.296e-05,8.296e-05,8.296e-05
22,1467.67,0.70912,0.48658,0.82153,0.95373,0.95301,0.95718,0.81605,0.61145,0.40385,0.8075,7.4908e-05,7.4908e-05,7.4908e-05
23,1528.72,0.68663,0.46723,0.81887,0.95431,0.95299,0.95724,0.81722,0.60186,0.39706,0.80632,6.6856e-05,6.6856e-05,6.6856e-05
24,1590.38,0.68005,0.46046,0.81886,0.95437,0.95367,0.95726,0.82034,0.59333,0.39226,0.80466,5.8804e-05,5.8804e-05,5.8804e-05
25,1650.81,0.66733,0.45217,0.81664,0.95396,0.95206,0.95726,0.82069,0.5905,0.38953,0.80469,5.0752e-05,5.0752e-05,5.0752e-05
26,1711.92,0.66535,0.45047,0.81704,0.9542,0.95499,0.95738,0.82631,0.58255,0.38669,0.8039,4.27e-05,4.27e-05,4.27e-05
27,1772.9,0.65614,0.44571,0.81358,0.95409,0.95398,0.95741,0.82612,0.57622,0.38034,0.80308,3.4648e-05,3.4648e-05,3.4648e-05
28,1833.1,0.65215,0.44332,0.81518,0.9543,0.95485,0.95739,0.82912,0.5726,0.37894,0.80284,2.6596e-05,2.6596e-05,2.6596e-05
29,1894.42,0.64549,0.43688,0.81312,0.9556,0.95323,0.95742,0.82993,0.56634,0.37456,0.80229,1.8544e-05,1.8544e-05,1.8544e-05
30,1955.23,0.64111,0.43764,0.81213,0.95575,0.95372,0.95752,0.83185,0.56311,0.37338,0.80193,1.0492e-05,1.0492e-05,1.0492e-05
