epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9181,1.36688,3.03267,1.12691,0.86291,0.36238,0.36614,0.26977,1.11624,2.08486,0.868,0.000250508,0.000250508,0.000250508
2,26.2378,1.03822,1.13471,0.92745,0.90039,0.65183,0.71882,0.49856,0.91595,1.14778,0.8384,0.000481752,0.000481752,0.000481752
3,39.332,0.90196,0.81388,0.89985,0.81108,0.78508,0.82135,0.58598,0.8111,0.8122,0.83928,0.00068762,0.00068762,0.00068762
4,52.9213,0.83372,0.69205,0.88355,0.92858,0.89195,0.94242,0.69249,0.67807,0.64656,0.81591,0.000654804,0.000654804,0.000654804
5,72.1718,0.76922,0.61924,0.87206,0.96655,0.95432,0.98576,0.74017,0.62447,0.50275,0.79866,0.000616738,0.000616738,0.000616738
6,92.4628,0.73411,0.59249,0.86398,0.97814,0.95666,0.99064,0.7566,0.59239,0.47152,0.8032,0.000578672,0.000578672,0.000578672
7,113.545,0.68447,0.54609,0.8532,0.9821,0.96654,0.99026,0.76422,0.56353,0.44329,0.79654,0.000540607,0.000540607,0.000540607
8,135.286,0.65986,0.52662,0.84861,0.97688,0.97908,0.99206,0.77563,0.52614,0.40638,0.7919,0.000502541,0.000502541,0.000502541
9,156.847,0.651,0.51273,0.84622,0.98975,0.98463,0.99388,0.78521,0.5311,0.39833,0.79282,0.000464476,0.000464476,0.000464476
10,177.79,0.62315,0.49343,0.83673,0.98615,0.98926,0.99383,0.78759,0.50968,0.38227,0.78783,0.000426411,0.000426411,0.000426411
11,228.889,0.60707,0.51846,0.8197,0.98741,0.98141,0.99301,0.78681,0.52069,0.38784,0.78358,0.000388345,0.000388345,0.000388345
12,248.975,0.55615,0.46193,0.81472,0.9836,0.98711,0.99417,0.80041,0.49295,0.37435,0.78168,0.00035028,0.00035028,0.00035028
13,268.886,0.53861,0.44901,0.81036,0.98989,0.98568,0.99392,0.80269,0.47977,0.37583,0.7807,0.000312214,0.000312214,0.000312214
14,288.901,0.52439,0.43961,0.80929,0.98954,0.98927,0.99429,0.81575,0.46262,0.36343,0.77749,0.000274148,0.000274148,0.000274148
15,308.912,0.50156,0.42487,0.80597,0.98929,0.98914,0.99409,0.82036,0.43712,0.34946,0.77549,0.000236083,0.000236083,0.000236083
16,328.342,0.49328,0.41605,0.80119,0.9892,0.99426,0.9945,0.83161,0.42941,0.33667,0.77489,0.000198018,0.000198018,0.000198018
17,348.317,0.48181,0.40345,0.80116,0.99548,0.99145,0.99471,0.83705,0.40612,0.32873,0.77089,0.000159952,0.000159952,0.000159952
18,368.317,0.45835,0.39306,0.79311,0.99353,0.99194,0.99474,0.83915,0.40143,0.32346,0.77004,0.000121887,0.000121887,0.000121887
19,387.49,0.45486,0.3877,0.79811,0.99549,0.99382,0.99475,0.8431,0.38923,0.31356,0.76793,8.3821e-05,8.3821e-05,8.3821e-05
20,405.84,0.43189,0.37462,0.79307,0.99658,0.99244,0.99482,0.8478,0.37816,0.30659,0.76786,4.57555e-05,4.57555e-05,4.57555e-05
