epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.4857,1.71365,2.81412,1.34565,0.96023,0.69287,0.90727,0.57896,1.37198,1.98831,1.18793,0.000299557,0.000299557,0.000299557
2,51.4025,1.37091,1.38266,1.13532,0.88671,0.82877,0.90445,0.59719,1.26196,1.27773,1.1428,0.00057273,0.00057273,0.00057273
3,75.9194,1.22065,1.1505,1.08233,0.93086,0.9072,0.96458,0.69472,1.07123,0.91976,1.0875,0.000815907,0.000815907,0.000815907
4,100.376,1.13065,0.97597,1.05159,0.97376,0.96404,0.9854,0.74573,1.03658,0.71989,1.07075,0.000774013,0.000774013,0.000774013
5,124.536,1.02289,0.83063,1.0064,0.98349,0.97561,0.99148,0.76548,0.94033,0.59338,1.03709,0.000729018,0.000729018,0.000729018
6,148.507,0.97959,0.7504,0.99262,0.98681,0.97947,0.99029,0.78212,0.86507,0.57955,0.99542,0.000684022,0.000684022,0.000684022
7,173.098,0.922,0.69922,0.97795,0.99101,0.97745,0.99186,0.81323,0.78985,0.52478,0.96853,0.000639027,0.000639027,0.000639027
8,197.377,0.86578,0.63794,0.95161,0.98749,0.97668,0.99177,0.82674,0.74751,0.51005,0.96405,0.000594031,0.000594031,0.000594031
9,222.632,0.79803,0.58388,0.92949,0.9958,0.98169,0.99422,0.83296,0.70353,0.46511,0.93921,0.000549036,0.000549036,0.000549036
10,246.706,0.78798,0.56685,0.92712,0.99254,0.98618,0.99437,0.85982,0.63457,0.42933,0.91625,0.00050404,0.00050404,0.00050404
11,290.533,0.80641,0.59942,0.94206,0.99266,0.98893,0.99389,0.84636,0.67388,0.43975,0.92466,0.000459045,0.000459045,0.000459045
12,313.951,0.79387,0.5731,0.9318,0.99589,0.99196,0.9947,0.86012,0.6234,0.42037,0.90858,0.000414049,0.000414049,0.000414049
13,337.787,0.72484,0.53289,0.90723,0.9966,0.99298,0.99478,0.87819,0.56399,0.38685,0.89327,0.000369054,0.000369054,0.000369054
14,361.588,0.69686,0.50947,0.90843,0.99724,0.99504,0.99495,0.89304,0.53328,0.36909,0.88198,0.000324058,0.000324058,0.000324058
15,385.308,0.63774,0.46957,0.89394,0.99789,0.99545,0.99495,0.90231,0.50907,0.3556,0.8713,0.000279063,0.000279063,0.000279063
16,408.677,0.61818,0.45002,0.87387,0.99891,0.99546,0.99498,0.90546,0.49442,0.34129,0.8682,0.000234068,0.000234068,0.000234068
17,432.881,0.58913,0.42925,0.87024,0.99802,0.99547,0.99496,0.92702,0.45562,0.32613,0.85688,0.000189072,0.000189072,0.000189072
18,456.605,0.56143,0.41325,0.86946,0.99877,0.99688,0.99498,0.9309,0.42639,0.31082,0.85324,0.000144077,0.000144077,0.000144077
19,480.236,0.55237,0.41056,0.86654,0.99831,0.9976,0.99498,0.93281,0.40957,0.30246,0.84635,9.9081e-05,9.9081e-05,9.9081e-05
20,504.007,0.51279,0.38942,0.85795,0.9981,0.99787,0.99499,0.94121,0.38205,0.28931,0.84152,5.40855e-05,5.40855e-05,5.40855e-05
