epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.98315,1.28049,4.04039,1.00713,0.0042,0.5246,0.27539,0.24986,1.19317,3.64616,0.90774,0.00020006,0.00020006,0.00020006
2,12.3895,1.10276,1.78299,0.89419,1,0.20785,0.29584,0.26258,0.96796,3.44434,0.86606,0.000387059,0.000387059,0.000387059
3,17.6821,0.99012,1.36058,0.8923,0.00397,0.48889,0.30353,0.27457,0.95285,3.19963,0.87139,0.000545764,0.000545764,0.000545764
4,22.6835,0.98085,1.24104,0.89049,1,0.31332,0.62592,0.49774,0.91779,2.63618,0.85567,0.000676174,0.000676174,0.000676174
5,27.8508,0.96025,1.16424,0.8844,0.99708,0.32824,0.65656,0.51857,0.91483,2.32002,0.84889,0.000778291,0.000778291,0.000778291
6,60.1244,0.92053,1.3702,0.85675,1,0.33341,0.64566,0.50377,0.92349,2.33759,0.85546,0.000852113,0.000852113,0.000852113
7,65.3873,0.91518,1.21297,0.85928,0.87674,0.57395,0.65647,0.53657,0.85675,1.56975,0.85267,0.000863116,0.000863116,0.000863116
8,70.7004,0.86858,1.16812,0.86089,0.98841,0.65518,0.74962,0.56688,0.85422,1.1572,0.85224,0.000768802,0.000768802,0.000768802
9,76.2593,0.79978,1.05783,0.83548,0.99054,0.65873,0.80546,0.60806,0.76189,0.84334,0.84509,0.000674488,0.000674488,0.000674488
10,81.3715,0.81104,1.02309,0.84205,0.98857,0.66587,0.82934,0.64523,0.76084,0.77921,0.84191,0.000580174,0.000580174,0.000580174
11,86.3859,0.77922,0.94112,0.83963,0.83895,0.83213,0.81408,0.66107,0.71905,0.63992,0.83942,0.00048586,0.00048586,0.00048586
12,91.43,0.769,0.91408,0.82955,0.85888,0.77548,0.85012,0.69527,0.72061,0.61038,0.83907,0.000391546,0.000391546,0.000391546
13,96.3632,0.73921,0.90711,0.83592,0.85528,0.85476,0.84933,0.70081,0.65883,0.60624,0.83874,0.000297232,0.000297232,0.000297232
14,101.203,0.69415,0.84801,0.83472,0.85916,0.86587,0.8864,0.72413,0.63227,0.5567,0.83512,0.000202918,0.000202918,0.000202918
15,106.351,0.66716,0.83907,0.82354,0.86602,0.95476,0.88745,0.73154,0.60503,0.55493,0.82941,0.000108604,0.000108604,0.000108604
