epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,115.943,1.78289,3.81412,1.04928,0.76523,0.33328,0.37259,0.24674,1.45612,1.69473,0.9396,7.07137e-05,7.07137e-05,7.07137e-05
2,221.841,1.40637,1.51859,0.9248,0.81973,0.65069,0.71009,0.50592,1.13244,0.88466,0.87938,0.000134699,0.000134699,0.000134699
3,327.469,1.20935,1.02633,0.88873,0.86449,0.79591,0.84378,0.6319,0.99204,0.72182,0.85501,0.000191655,0.000191655,0.000191655
4,438.392,1.07313,0.85198,0.87189,0.9013,0.85168,0.90687,0.69955,0.86451,0.61883,0.83805,0.000181369,0.000181369,0.000181369
5,542.106,0.99292,0.75996,0.85915,0.92574,0.89533,0.92788,0.72728,0.84447,0.57543,0.83484,0.000170826,0.000170826,0.000170826
6,643.64,0.94698,0.69943,0.852,0.91719,0.93027,0.93573,0.74814,0.78305,0.53365,0.82667,0.000160282,0.000160282,0.000160282
7,751.456,0.91617,0.66367,0.84621,0.94297,0.94358,0.95861,0.77318,0.74716,0.50481,0.82194,0.000149739,0.000149739,0.000149739
8,857.008,0.88381,0.6311,0.84389,0.97174,0.93448,0.97258,0.78278,0.75461,0.50573,0.82224,0.000139196,0.000139196,0.000139196
9,961.539,0.85948,0.61399,0.84041,0.96802,0.94847,0.97938,0.8008,0.72844,0.47702,0.81851,0.000128652,0.000128652,0.000128652
10,1065.41,0.84992,0.60231,0.83861,0.96358,0.96805,0.98649,0.81451,0.70119,0.47439,0.81732,0.000118108,0.000118108,0.000118108
11,1216.43,0.81905,0.59109,0.83481,0.9807,0.97407,0.99036,0.81924,0.6997,0.463,0.81545,0.000107565,0.000107565,0.000107565
12,1315.83,0.78666,0.55591,0.8319,0.98433,0.97727,0.99272,0.82863,0.6687,0.44341,0.81254,9.70215e-05,9.70215e-05,9.70215e-05
13,1416.13,0.76357,0.53746,0.82763,0.98697,0.98022,0.9927,0.83128,0.66078,0.44445,0.81182,8.6478e-05,8.6478e-05,8.6478e-05
14,1521.55,0.7466,0.52479,0.82542,0.98464,0.98369,0.9933,0.83738,0.64588,0.43328,0.80989,7.59345e-05,7.59345e-05,7.59345e-05
15,1618.1,0.7337,0.51496,0.82415,0.98896,0.98422,0.99351,0.8403,0.63946,0.426,0.80904,6.5391e-05,6.5391e-05,6.5391e-05
16,1716.87,0.72347,0.50583,0.82194,0.98521,0.98598,0.99375,0.84661,0.62441,0.41827,0.80749,5.48475e-05,5.48475e-05,5.48475e-05
17,1816.2,0.71146,0.49692,0.82115,0.98703,0.98814,0.99365,0.84981,0.62168,0.41378,0.80708,4.4304e-05,4.4304e-05,4.4304e-05
18,1919.8,0.6993,0.48911,0.81855,0.98826,0.9876,0.9938,0.84971,0.61902,0.40972,0.80626,3.37605e-05,3.37605e-05,3.37605e-05
19,2018.18,0.69089,0.48219,0.81858,0.99055,0.98736,0.99386,0.85371,0.60447,0.40474,0.80518,2.3217e-05,2.3217e-05,2.3217e-05
20,2115.02,0.68919,0.48278,0.81714,0.99147,0.9864,0.9939,0.85565,0.59935,0.40148,0.80482,1.26735e-05,1.26735e-05,1.26735e-05
