epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.9431,1.43356,2.70516,1.05584,0.9095,0.41265,0.55378,0.36032,1.14711,1.55536,0.85792,0.000234551,0.000234551,0.000234551
2,53.587,1.06045,0.89279,0.9006,0.78408,0.74111,0.80882,0.54314,0.92979,0.84774,0.82548,0.000449159,0.000449159,0.000449159
3,81.0404,0.96233,0.72095,0.87726,0.91553,0.82945,0.91254,0.61765,0.85259,0.68752,0.81458,0.000640206,0.000640206,0.000640206
4,106.928,0.88989,0.65194,0.86435,0.92061,0.92857,0.97005,0.68136,0.77951,0.52809,0.80642,0.000607971,0.000607971,0.000607971
5,133.084,0.8351,0.59505,0.85465,0.96699,0.95779,0.98555,0.7123,0.71915,0.50036,0.799,0.000572628,0.000572628,0.000572628
6,159.608,0.7806,0.55366,0.84535,0.96957,0.96945,0.98826,0.73199,0.67032,0.44041,0.79593,0.000537285,0.000537285,0.000537285
7,185.41,0.75749,0.53203,0.84074,0.97213,0.97485,0.98904,0.73616,0.64344,0.42561,0.79167,0.000501942,0.000501942,0.000501942
8,211.457,0.73795,0.51374,0.83723,0.98282,0.97817,0.99202,0.76208,0.61086,0.39873,0.78536,0.000466599,0.000466599,0.000466599
9,236.685,0.70695,0.4911,0.8324,0.98008,0.98043,0.99199,0.75641,0.58939,0.39787,0.7836,0.000431256,0.000431256,0.000431256
10,262.313,0.70286,0.48475,0.83179,0.98491,0.98563,0.99313,0.76848,0.57969,0.38677,0.78468,0.000395913,0.000395913,0.000395913
11,316.293,0.67531,0.49174,0.81426,0.98076,0.98132,0.9929,0.76225,0.60094,0.39076,0.78203,0.00036057,0.00036057,0.00036057
12,341.089,0.64523,0.46207,0.80704,0.9802,0.98764,0.99359,0.77574,0.56191,0.38505,0.77807,0.000325227,0.000325227,0.000325227
13,365.434,0.63143,0.44566,0.80676,0.98927,0.98677,0.99356,0.77406,0.56178,0.37448,0.77696,0.000289884,0.000289884,0.000289884
14,389.33,0.6122,0.42976,0.80599,0.99022,0.99177,0.99437,0.80029,0.51592,0.35134,0.77438,0.000254541,0.000254541,0.000254541
15,413.915,0.59303,0.42071,0.80207,0.99159,0.98454,0.9938,0.79314,0.51628,0.34524,0.77181,0.000219198,0.000219198,0.000219198
16,438.663,0.57213,0.40507,0.8007,0.99005,0.98871,0.99415,0.80212,0.50544,0.33793,0.77063,0.000183855,0.000183855,0.000183855
17,462.624,0.55996,0.39833,0.79754,0.98989,0.98972,0.9942,0.81479,0.48715,0.33167,0.7696,0.000148512,0.000148512,0.000148512
18,486.428,0.55098,0.3921,0.79502,0.99178,0.99346,0.99446,0.81791,0.48008,0.32535,0.76883,0.000113169,0.000113169,0.000113169
19,510.068,0.53316,0.38194,0.79409,0.99294,0.99207,0.9945,0.82508,0.46265,0.31821,0.76706,7.7826e-05,7.7826e-05,7.7826e-05
20,534.157,0.53102,0.37979,0.79418,0.99463,0.99021,0.9946,0.82705,0.4549,0.31374,0.76629,4.2483e-05,4.2483e-05,4.2483e-05
