epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.02491,1.53763,4.36671,1.1105,0.00106,0.08357,0.02036,0.01146,1.1485,3.9425,1.06208,0.0002625,0.0002625,0.0002625
2,14.4737,1.2334,2.61631,0.98704,0.00176,0.18964,0.04146,0.02521,0.90904,3.68294,1.01563,0.000510894,0.000510894,0.000510894
3,21.3141,1.09333,1.90697,0.94322,0.00376,0.50286,0.31423,0.21804,0.97643,3.11709,1.00147,0.000732063,0.000732063,0.000732063
4,28.2753,1.04357,1.66998,0.92886,1,0.02884,0.52059,0.3525,1.0134,2.66329,0.99547,0.000926006,0.000926006,0.000926006
5,35.5419,1.00804,1.42616,0.92392,1,0.35977,0.78086,0.6107,0.87187,1.84143,1.00097,0.0010025,0.0010025,0.0010025
6,42.5647,0.91189,1.34065,0.92596,0.8835,0.79028,0.90342,0.69864,1.12519,1.11384,1.00395,0.000940625,0.000940625,0.000940625
7,49.139,0.88327,1.25613,0.90401,0.9616,0.89964,0.95926,0.72621,0.76659,0.87335,0.96152,0.00087875,0.00087875,0.00087875
8,55.6923,0.81624,1.11103,0.8807,0.97796,0.96315,0.99069,0.81741,0.65196,0.76185,0.93465,0.000816875,0.000816875,0.000816875
9,62.1732,0.77094,1.05669,0.87066,0.97955,0.9169,0.9847,0.79934,0.74275,0.59874,0.93665,0.000755,0.000755,0.000755
10,68.6783,0.76327,1.00492,0.87295,0.96396,0.97465,0.98141,0.81309,0.61882,0.55224,0.936,0.000693125,0.000693125,0.000693125
11,103.236,0.66648,1.11531,0.87754,0.97143,0.96605,0.98518,0.81944,0.60964,0.53603,0.91842,0.00063125,0.00063125,0.00063125
12,109.819,0.6615,1.02893,0.86424,0.96868,0.9698,0.98903,0.77887,0.77734,0.56911,0.9265,0.000569375,0.000569375,0.000569375
13,116.169,0.62938,0.98286,0.85452,0.97353,0.98486,0.98624,0.83353,0.63656,0.5277,0.92246,0.0005075,0.0005075,0.0005075
14,122.663,0.58816,0.95031,0.83952,0.9526,0.9759,0.99073,0.81025,0.55457,0.50537,0.91871,0.000445625,0.000445625,0.000445625
15,129.116,0.5929,0.91279,0.85101,0.99569,0.98885,0.99255,0.8549,0.53898,0.45495,0.90812,0.00038375,0.00038375,0.00038375
16,135.484,0.55484,0.86169,0.83968,0.98844,0.96998,0.99048,0.87551,0.4595,0.41489,0.90145,0.000321875,0.000321875,0.000321875
17,142.041,0.53546,0.83085,0.83664,0.98557,0.995,0.99207,0.88159,0.45835,0.41645,0.90058,0.00026,0.00026,0.00026
18,149.241,0.49565,0.81007,0.83033,0.9972,0.99008,0.99352,0.89207,0.46033,0.41086,0.89901,0.000198125,0.000198125,0.000198125
19,156.067,0.47721,0.76956,0.82523,0.99726,0.99021,0.99338,0.90268,0.41708,0.3777,0.89733,0.00013625,0.00013625,0.00013625
20,162.322,0.45202,0.7387,0.8106,0.99527,0.9939,0.99417,0.90565,0.43957,0.38903,0.89539,7.4375e-05,7.4375e-05,7.4375e-05
