epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,111.65,1.75103,3.79244,1.04552,0.72126,0.3266,0.36579,0.24609,1.46881,1.8467,0.94374,6.90582e-05,6.90582e-05,6.90582e-05
2,212.165,1.37897,1.51797,0.92642,0.79797,0.68698,0.76232,0.56119,1.11642,0.92696,0.88027,0.000129258,0.000129258,0.000129258
3,313.661,1.16772,0.98729,0.89105,0.8663,0.848,0.88616,0.66742,0.95727,0.71308,0.85292,0.000180305,0.000180305,0.000180305
4,418.575,1.04267,0.81941,0.87086,0.92364,0.88772,0.91999,0.71135,0.86187,0.61723,0.83849,0.000166816,0.000166816,0.000166816
5,518.575,0.99617,0.74232,0.86417,0.92985,0.9087,0.93921,0.73689,0.8189,0.56057,0.83229,0.000153088,0.000153088,0.000153088
6,664.014,0.93164,0.70474,0.8565,0.94865,0.93134,0.95902,0.75493,0.81074,0.54788,0.82884,0.00013936,0.00013936,0.00013936
7,769.987,0.87253,0.64147,0.84489,0.97286,0.93174,0.98079,0.78081,0.75722,0.51207,0.82284,0.000125632,0.000125632,0.000125632
8,867.775,0.83973,0.60544,0.84097,0.98354,0.93902,0.98248,0.79894,0.72864,0.4884,0.81777,0.000111904,0.000111904,0.000111904
9,962.766,0.81267,0.58407,0.83675,0.98191,0.94993,0.98152,0.79795,0.72674,0.47867,0.81701,9.8176e-05,9.8176e-05,9.8176e-05
10,1060.93,0.79455,0.56923,0.83236,0.97147,0.96727,0.98254,0.80273,0.69822,0.4655,0.81379,8.4448e-05,8.4448e-05,8.4448e-05
11,1163.39,0.7759,0.55426,0.83,0.97079,0.97396,0.98286,0.8129,0.67748,0.45513,0.81228,7.072e-05,7.072e-05,7.072e-05
12,1257.51,0.76447,0.54505,0.82922,0.98073,0.97312,0.98858,0.82388,0.66274,0.44854,0.81019,5.6992e-05,5.6992e-05,5.6992e-05
13,1351.03,0.7461,0.53456,0.82656,0.98154,0.97289,0.98909,0.82716,0.65568,0.44548,0.80908,4.3264e-05,4.3264e-05,4.3264e-05
14,1452.6,0.73524,0.5273,0.82543,0.98285,0.97572,0.98976,0.83312,0.64396,0.43321,0.80796,2.9536e-05,2.9536e-05,2.9536e-05
15,1552.15,0.7254,0.52054,0.82473,0.98342,0.97272,0.98611,0.83085,0.63927,0.43221,0.80802,1.5808e-05,1.5808e-05,1.5808e-05
