epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.0302,1.30603,2.66996,1.0876,0.88901,0.4161,0.55843,0.38296,1.05296,1.84855,0.85863,0.000252061,0.000252061,0.000252061
2,42.9056,1.00653,0.94846,0.92199,0.75751,0.74136,0.79005,0.55257,0.83476,0.95484,0.83943,0.000483229,0.000483229,0.000483229
3,63.8299,0.86229,0.72665,0.88714,0.86059,0.84146,0.87438,0.6385,0.72436,0.64806,0.82198,0.00068902,0.00068902,0.00068902
4,84.1524,0.77751,0.63643,0.87532,0.94766,0.92611,0.9728,0.72103,0.64234,0.53703,0.80699,0.000654804,0.000654804,0.000654804
5,107.21,0.73837,0.58575,0.86403,0.9655,0.94843,0.98527,0.749,0.61873,0.48154,0.80578,0.000616738,0.000616738,0.000616738
6,127.82,0.69945,0.54583,0.85576,0.96892,0.97128,0.99007,0.76642,0.58016,0.4454,0.79758,0.000578672,0.000578672,0.000578672
7,148.11,0.6694,0.51741,0.84589,0.97801,0.98243,0.99278,0.78059,0.56314,0.41609,0.79534,0.000540607,0.000540607,0.000540607
8,168.788,0.63344,0.49362,0.84143,0.98532,0.98101,0.99352,0.79381,0.5253,0.38868,0.7912,0.000502541,0.000502541,0.000502541
9,189.507,0.6206,0.48509,0.83861,0.9939,0.98732,0.99422,0.7996,0.49717,0.3734,0.78541,0.000464476,0.000464476,0.000464476
10,211.055,0.59862,0.46318,0.8332,0.98952,0.99216,0.99455,0.8048,0.49135,0.37173,0.78342,0.000426411,0.000426411,0.000426411
11,257.925,0.56981,0.46768,0.81457,0.98456,0.98928,0.99434,0.80911,0.4813,0.36064,0.78,0.000388345,0.000388345,0.000388345
12,277.655,0.54262,0.43494,0.80873,0.99291,0.98903,0.99463,0.81453,0.46072,0.35714,0.77924,0.00035028,0.00035028,0.00035028
13,296.575,0.51864,0.4185,0.806,0.99282,0.99082,0.99461,0.82282,0.45268,0.34999,0.77725,0.000312214,0.000312214,0.000312214
14,315.834,0.48812,0.39828,0.80321,0.99177,0.99295,0.99467,0.8362,0.41967,0.33027,0.77235,0.000274148,0.000274148,0.000274148
15,336.362,0.48945,0.39488,0.80115,0.99407,0.99383,0.99481,0.83698,0.41706,0.32774,0.77211,0.000236083,0.000236083,0.000236083
16,356.272,0.46347,0.37945,0.7948,0.99471,0.99103,0.99479,0.83572,0.41612,0.32183,0.77217,0.000198018,0.000198018,0.000198018
17,375.25,0.45332,0.37017,0.79422,0.99647,0.99476,0.99488,0.84725,0.38678,0.30817,0.7686,0.000159952,0.000159952,0.000159952
18,394.586,0.44137,0.36117,0.79192,0.99684,0.99496,0.99492,0.85535,0.37485,0.30175,0.76647,0.000121887,0.000121887,0.000121887
19,413.993,0.42881,0.35517,0.79246,0.99653,0.99479,0.99491,0.86206,0.36066,0.29547,0.76566,8.3821e-05,8.3821e-05,8.3821e-05
20,433.928,0.41523,0.34711,0.79046,0.99531,0.99529,0.9949,0.85901,0.35516,0.28876,0.76452,4.57555e-05,4.57555e-05,4.57555e-05
