epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7115,1.74775,2.91364,1.38355,0.94289,0.32892,0.7706,0.48137,1.38244,2.33865,1.22838,0.000299435,0.000299435,0.000299435
2,70.9705,1.3886,1.41953,1.14582,0.91667,0.81358,0.90395,0.60944,1.24294,1.08066,1.17096,0.000582555,0.000582555,0.000582555
3,111.149,1.26917,1.19325,1.1044,0.93157,0.91244,0.96218,0.66885,1.16431,0.92535,1.13087,0.000845677,0.000845677,0.000845677
4,149.765,1.18828,1.03166,1.06869,0.94905,0.9331,0.98121,0.73041,1.04788,0.78692,1.07647,0.000819009,0.000819009,0.000819009
5,187.237,1.09483,0.87364,1.03533,0.9767,0.95172,0.98835,0.72735,0.98176,0.69758,1.04502,0.000789012,0.000789012,0.000789012
6,225.903,1.03807,0.80618,1.00776,0.97018,0.97354,0.98765,0.75201,0.96899,0.65277,1.04294,0.000759015,0.000759015,0.000759015
7,264.492,0.98212,0.73503,0.99442,0.97998,0.9712,0.98955,0.77614,0.93943,0.59682,1.04416,0.000729018,0.000729018,0.000729018
8,301.726,0.93514,0.68224,0.97732,0.98939,0.98255,0.99376,0.8089,0.7688,0.52311,0.98119,0.000699021,0.000699021,0.000699021
9,340.413,0.89356,0.63705,0.95727,0.98878,0.98827,0.99373,0.84227,0.72075,0.48208,0.95216,0.000669024,0.000669024,0.000669024
10,380.711,0.85529,0.60582,0.95288,0.99161,0.98906,0.99426,0.84103,0.6945,0.45592,0.94499,0.000639027,0.000639027,0.000639027
11,422.585,0.81322,0.55452,0.93289,0.9934,0.9912,0.99354,0.85867,0.64095,0.44586,0.92527,0.00060903,0.00060903,0.00060903
12,461.202,0.77271,0.53604,0.92029,0.98875,0.98498,0.99385,0.86019,0.61307,0.42892,0.91433,0.000579033,0.000579033,0.000579033
13,499.933,0.74899,0.51732,0.91125,0.99522,0.98986,0.99469,0.87245,0.5856,0.40689,0.90265,0.000549036,0.000549036,0.000549036
14,537.869,0.73222,0.50929,0.90478,0.99519,0.99526,0.99486,0.87301,0.58572,0.3965,0.90106,0.000519039,0.000519039,0.000519039
15,577.481,0.7071,0.48477,0.9009,0.99449,0.99408,0.99483,0.89428,0.55239,0.37749,0.89523,0.000489042,0.000489042,0.000489042
16,617.327,0.6883,0.47742,0.89813,0.99667,0.99479,0.99492,0.88527,0.5286,0.37431,0.88621,0.000459045,0.000459045,0.000459045
17,655.04,0.67376,0.46529,0.89525,0.99878,0.99655,0.99496,0.90034,0.49924,0.34863,0.87707,0.000429048,0.000429048,0.000429048
18,693.658,0.63795,0.4469,0.88051,0.99838,0.9982,0.99496,0.90994,0.4954,0.33251,0.87025,0.000399051,0.000399051,0.000399051
19,734.033,0.61829,0.42224,0.87273,0.99783,0.99771,0.99498,0.9069,0.45515,0.32218,0.86323,0.000369054,0.000369054,0.000369054
20,775.389,0.60907,0.41481,0.87476,0.99833,0.99793,0.99497,0.90893,0.47912,0.3226,0.86254,0.000339057,0.000339057,0.000339057
21,834.509,0.63461,0.43973,0.88468,0.99884,0.99766,0.99496,0.91292,0.47339,0.32694,0.86588,0.00030906,0.00030906,0.00030906
22,873.027,0.61422,0.43172,0.88252,0.99813,0.99855,0.995,0.90968,0.48383,0.31794,0.86789,0.000279063,0.000279063,0.000279063
23,912.416,0.57821,0.40351,0.86662,0.99928,0.9989,0.995,0.92321,0.44196,0.30907,0.85496,0.000249066,0.000249066,0.000249066
24,951.76,0.55603,0.39054,0.86,0.9991,0.99911,0.995,0.94028,0.40754,0.29072,0.84937,0.000219069,0.000219069,0.000219069
25,990.65,0.53957,0.3813,0.85837,0.99932,0.99817,0.995,0.93853,0.40971,0.2939,0.84716,0.000189072,0.000189072,0.000189072
26,1027.45,0.50615,0.36436,0.85048,0.99899,0.999,0.995,0.94302,0.38144,0.27904,0.83891,0.000159075,0.000159075,0.000159075
27,1065.99,0.49379,0.35264,0.84759,0.99926,0.99911,0.995,0.94708,0.36176,0.29446,0.83448,0.000129078,0.000129078,0.000129078
28,1106.86,0.47452,0.3487,0.84496,0.99876,0.99932,0.995,0.95511,0.34384,0.26281,0.83395,9.9081e-05,9.9081e-05,9.9081e-05
29,1143.85,0.45319,0.34277,0.84274,0.99936,0.99916,0.995,0.95615,0.3316,0.255,0.83112,6.9084e-05,6.9084e-05,6.9084e-05
30,1183.66,0.45103,0.33516,0.83786,0.99953,0.99905,0.995,0.96091,0.32064,0.25252,0.82811,3.9087e-05,3.9087e-05,3.9087e-05
